origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
dj_indep_11q,no,1.0,0.001,tp,11,12,31,1,1,0.08000000000000002,-1.0,-0.9900000000000001,1.08,1.07,0.009259259259259267,0.000797271728515625,200,
dj_indep_11q,no,1.0,0.001,tp,11,12,29,2,2,-0.06000000000000005,-0.03999999999999998,-0.062000000000000006,0.020000000000000073,0.001999999999999953,0.9000000000000027,0.0016701221466064453,200,
dj_indep_11q,no,1.0,0.001,tp,11,12,38,3,3,-0.07,0.04999999999999999,0.04200000000000007,0.12,0.11200000000000007,0.06666666666666604,0.002245187759399414,200,
dj_indep_11q,no,1.0,0.001,tp,11,12,32,4,4,0.030000000000000027,-0.030000000000000002,-0.18800000000000006,0.060000000000000026,0.21800000000000008,-2.6333333333333333,0.0020089149475097656,200,
dj_indep_11q,no,1.0,0.001,tp,11,12,32,5,5,0.07,0.06999999999999999,-0.021999999999999995,1.3877787807814457e-17,0.092,-6629298651489369.0,0.0017390251159667969,200,
dj_indep_11q,no,1.0,0.001,tp,11,12,35,6,6,-0.030000000000000027,0.04,-0.09000000000000011,0.07000000000000003,0.06000000000000008,0.14285714285714213,0.0016491413116455078,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,31,1,1,-0.15999999999999998,-1.0,-1.0000000000000004,0.8400000000000001,0.8400000000000005,-5.286776307738841e-16,0.0008661746978759766,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,29,2,2,0.06000000000000005,0.05,-0.009999999999999966,0.01000000000000005,0.07000000000000002,-5.999999999999967,0.0015728473663330078,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,38,3,3,-0.06000000000000005,-0.13000000000000006,0.0040000000000000886,0.07,0.06400000000000014,0.0857142857142838,0.0016887187957763672,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,32,4,4,0.050000000000000044,-0.05,-0.011999999999999985,0.10000000000000005,0.06200000000000003,0.38,0.00168609619140625,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,32,5,5,0.040000000000000036,-0.010000000000000005,-0.02400000000000006,0.050000000000000044,0.0640000000000001,-0.28000000000000086,0.0017061233520507812,200,
dj_indep_11q,no,1.1,0.001,tp,11,12,35,6,6,-0.06000000000000005,0.12000000000000002,0.07800000000000003,0.18000000000000008,0.13800000000000007,0.23333333333333328,0.0020852088928222656,200,
dj_indep_11q,no,1.2,0.001,tp,11,12,31,1,1,0.18999999999999995,-0.99,-0.9960000000000002,1.18,1.1860000000000002,-0.0050847457627120575,0.0008342266082763672,200,
dj_indep_11q,no,1.2,0.001,tp,11,12,29,2,2,0.040000000000000036,-0.04999999999999999,-0.030000000000000037,0.09000000000000002,0.07000000000000008,0.2222222222222216,0.0015437602996826172,200,
dj_indep_11q,no,1.2,0.001,tp,11,12,38,3,3,-0.010000000000000009,0.040000000000000015,-0.20800000000000005,0.050000000000000024,0.19800000000000004,-2.959999999999999,0.0031023025512695312,200,
dj_indep_11q,no,1.2,0.001,tp,11,12,32,4,4,0.15999999999999998,-0.14000000000000007,-0.007999999999999953,0.30000000000000004,0.16799999999999993,0.44000000000000034,0.0017132759094238281,200,
dj_indep_11q,no,1.2,0.001,tp,11,12,32,5,5,0.050000000000000044,0.009999999999999998,-0.024000000000000046,0.04000000000000005,0.0740000000000001,-0.8500000000000001,0.0020759105682373047,200,
