noise_multiplier,communication,local_noise,avg_error_reduction,avg_noisy_error,partition_trend,algorithm
1.1,cat,0.02,-1.5500000000000005,0.07999999999999995,decreases,dj_indep_2q
1.1,teleportation,0.001,-0.799999999999995,0.035,increases,dj_indep_2q
1.1,teleportation,0.005,0.5816849816849817,0.16999999999999998,increases,dj_indep_2q
1.1,teleportation,0.01,-0.08666666666666639,0.065,increases,dj_indep_2q
1.1,teleportation,0.015,0.09999999999999974,0.060000000000000005,increases,dj_indep_2q
1.1,teleportation,0.02,0.8400000000000003,0.05,remains stable,dj_indep_2q
1.2,cat,0.001,0.1846153846153848,0.065,remains stable,dj_indep_2q
1.2,cat,0.005,-1.520000000000006,0.05499999999999995,decreases,dj_indep_2q
1.2,cat,0.01,-0.26,0.09499999999999996,increases,dj_indep_2q
1.2,cat,0.015,-0.5428571428571429,0.10499999999999995,decreases,dj_indep_2q
1.2,cat,0.02,0.4937499999999999,0.10999999999999995,decreases,dj_indep_2q
1.2,teleportation,0.001,0.15661764705882356,0.1249999999999999,decreases,dj_indep_2q
1.2,teleportation,0.005,-4.566666666666681,0.09499999999999989,decreases,dj_indep_2q
1.2,teleportation,0.01,-0.3685714285714288,0.060000000000000005,increases,dj_indep_2q
1.2,teleportation,0.015,0.5900000000000001,0.12999999999999995,decreases,dj_indep_2q
1.2,teleportation,0.02,0.3342857142857145,0.11999999999999995,increases,dj_indep_2q
1.0,cat,0.001,-1.6766025641025624,0.06599999999999998,remains stable,dj_indep_5q
1.0,cat,0.005,-0.6283333333333332,0.061999999999999965,decreases,dj_indep_5q
1.0,cat,0.01,-0.029604395604395206,0.12799999999999995,increases,dj_indep_5q
1.0,cat,0.015,-144115188075856.5,0.066,decreases,dj_indep_5q
1.0,cat,0.02,0.12505494505494444,0.10400000000000001,remains stable,dj_indep_5q
1.0,teleportation,0.001,-1.001333333333332,0.05799999999999998,decreases,dj_indep_5q
1.0,teleportation,0.005,-422737885022511.4,0.04200000000000002,decreases,dj_indep_5q
1.0,teleportation,0.01,-0.7784444444444436,0.07599999999999996,increases,dj_indep_5q
1.0,teleportation,0.015,0.055619047619047936,0.06000000000000001,decreases,dj_indep_5q
1.0,teleportation,0.02,-1.0936410256410216,0.048,remains stable,dj_indep_5q
1.1,cat,0.001,-1.6434285714285704,0.09599999999999996,increases,dj_indep_5q
1.1,cat,0.005,0.15711111111111148,0.10399999999999998,increases,dj_indep_5q
1.1,cat,0.01,-432345564227568.4,0.049999999999999975,decreases,dj_indep_5q
1.1,cat,0.015,0.05734265734265749,0.11999999999999993,decreases,dj_indep_5q
1.1,cat,0.02,-1.1581818181818204,0.04399999999999996,increases,dj_indep_5q
1.1,teleportation,0.001,-0.6874999999999991,0.096,increases,dj_indep_5q
1.1,teleportation,0.005,-0.6991111111111113,0.09799999999999995,decreases,dj_indep_5q
1.1,teleportation,0.01,-1.9716666666666574,0.074,remains stable,dj_indep_5q
1.1,teleportation,0.015,-1.3961538461538434,0.05,increases,dj_indep_5q
1.1,teleportation,0.02,-2978380553567688.5,0.061999999999999986,remains stable,dj_indep_5q
1.2,cat,0.001,-0.17833333333333432,0.10399999999999995,remains stable,dj_indep_5q
1.2,cat,0.005,-0.1415614973262036,0.096,increases,dj_indep_5q
1.2,cat,0.01,-0.49516483516483306,0.07999999999999999,decreases,dj_indep_5q
1.2,cat,0.015,-7.412222222222214,0.1,increases,dj_indep_5q
1.2,cat,0.02,-1.1666666666666634,0.03999999999999998,decreases,dj_indep_5q
1.2,teleportation,0.001,-0.3147186147186151,0.07999999999999996,decreases,dj_indep_5q
1.2,teleportation,0.005,0.05884615384615417,0.09399999999999997,increases,dj_indep_5q
1.2,teleportation,0.01,-96076792050569.52,0.04999999999999997,decreases,dj_indep_5q
1.2,teleportation,0.015,0.12717678812415617,0.16199999999999998,increases,dj_indep_5q
1.2,teleportation,0.02,-1.877999999999998,0.04399999999999998,decreases,dj_indep_5q
1.0,cat,0.001,-0.5092063492063496,0.07,decreases,dj_indep_9q
1.0,cat,0.005,-2.2282539682539624,0.07833333333333332,remains stable,dj_indep_9q
1.0,cat,0.01,-0.564470899470897,0.06166666666666665,increases,dj_indep_9q
1.0,cat,0.015,-0.33692640692640574,0.08166666666666668,increases,dj_indep_9q
1.0,cat,0.02,-354283170686478.7,0.10166666666666664,increases,dj_indep_9q
1.0,teleportation,0.001,-0.5793560606060603,0.1083333333333333,increases,dj_indep_9q
1.0,teleportation,0.005,-2690150177415979.5,0.07999999999999997,decreases,dj_indep_9q
1.0,teleportation,0.01,-0.7994444444444425,0.07166666666666666,decreases,dj_indep_9q
1.0,teleportation,0.015,-0.8500556947925383,0.07999999999999993,increases,dj_indep_9q
1.0,teleportation,0.02,-0.2663888888888896,0.09833333333333333,increases,dj_indep_9q
1.1,cat,0.001,-14411518807587.416,0.04666666666666667,remains stable,dj_indep_9q
1.1,cat,0.005,-0.12020461020460964,0.10666666666666667,decreases,dj_indep_9q
1.1,cat,0.01,-2.142820512820525,0.09499999999999996,increases,dj_indep_9q
1.1,cat,0.015,-0.4603703703703716,0.075,increases,dj_indep_9q
1.1,cat,0.02,-5.2476388888888925,0.06666666666666664,increases,dj_indep_9q
1.1,teleportation,0.001,-0.7507647907647884,0.07166666666666667,decreases,dj_indep_9q
1.1,teleportation,0.005,-3.3291666666666537,0.09833333333333334,increases,dj_indep_9q
1.1,teleportation,0.01,-0.5442870370370371,0.14166666666666664,decreases,dj_indep_9q
1.1,teleportation,0.015,-2.8155555555555574,0.0433333333333333,decreases,dj_indep_9q
1.1,teleportation,0.02,-3.0733333333333253,0.028333333333333297,remains stable,dj_indep_9q
1.2,cat,0.001,-1.264166666666668,0.04833333333333334,remains stable,dj_indep_9q
1.2,cat,0.005,-0.983260582010582,0.08499999999999995,decreases,dj_indep_9q
1.2,cat,0.01,-1.5505291005291049,0.048333333333333305,increases,dj_indep_9q
1.2,cat,0.015,0.06486772486772534,0.075,increases,dj_indep_9q
1.2,cat,0.02,0.24832130832130814,0.10999999999999997,remains stable,dj_indep_9q
1.2,teleportation,0.001,-96076792050570.19,0.07833333333333332,decreases,dj_indep_9q
1.2,teleportation,0.005,-1.898489010989013,0.11333333333333333,decreases,dj_indep_9q
1.2,teleportation,0.01,-1.3727777777777757,0.09499999999999999,increases,dj_indep_9q
1.2,teleportation,0.015,0.5780687830687834,0.1233333333333333,decreases,dj_indep_9q
1.2,teleportation,0.02,-1.5986363636363634,0.09499999999999996,decreases,dj_indep_9q
1.0,cat,0.001,-492393559259176.2,0.19499999999999998,increases,dj_indep_8q
1.0,cat,0.005,-2.2731223593116154,0.25,increases,dj_indep_8q
1.0,cat,0.01,-0.25010528923572367,0.24166666666666667,decreases,dj_indep_8q
1.0,cat,0.015,0.08942119510662999,0.23500000000000001,remains stable,dj_indep_8q
1.0,cat,0.02,-1.07444132334582,0.20999999999999996,increases,dj_indep_8q
1.0,teleportation,0.001,-3.9320699203876717,0.22833333333333336,decreases,dj_indep_8q
1.0,teleportation,0.005,-1.3213789682539654,0.18999999999999995,increases,dj_indep_8q
1.0,teleportation,0.01,-999198637325933.6,0.25,decreases,dj_indep_8q
1.0,teleportation,0.015,-0.42748251748251725,0.255,increases,dj_indep_8q
1.0,teleportation,0.02,-2.0247619047619008,0.18999999999999997,decreases,dj_indep_8q
1.1,cat,0.001,-0.4902813852813852,0.235,increases,dj_indep_8q
1.1,cat,0.005,-0.3934732301241743,0.24500000000000002,remains stable,dj_indep_8q
1.1,cat,0.01,-0.5474561403508781,0.19666666666666657,decreases,dj_indep_8q
1.1,cat,0.015,-441953243432625.2,0.2266666666666666,increases,dj_indep_8q
1.1,cat,0.02,0.01176767676767665,0.25833333333333336,increases,dj_indep_8q
1.1,teleportation,0.001,-2.069932728090622,0.27166666666666656,decreases,dj_indep_8q
1.1,teleportation,0.005,0.07964932126696905,0.22666666666666666,decreases,dj_indep_8q
1.1,teleportation,0.01,-0.2545726495726512,0.20333333333333334,decreases,dj_indep_8q
1.1,teleportation,0.015,-3.321887755102031,0.2016666666666667,decreases,dj_indep_8q
1.1,teleportation,0.02,-0.8225297619047615,0.20833333333333334,decreases,dj_indep_8q
1.2,cat,0.001,-0.1613076939163902,0.23499999999999996,decreases,dj_indep_8q
1.2,cat,0.005,-0.8499377289377295,0.22166666666666668,increases,dj_indep_8q
1.2,cat,0.01,-0.23147893772893693,0.21999999999999997,remains stable,dj_indep_8q
1.2,cat,0.015,-1873497444986127.8,0.22999999999999998,decreases,dj_indep_8q
1.2,cat,0.02,-1.6071326821326775,0.21499999999999997,decreases,dj_indep_8q
1.2,teleportation,0.001,-2.104509004417276,0.22666666666666668,decreases,dj_indep_8q
1.2,teleportation,0.005,-0.9853137516688938,0.2483333333333333,decreases,dj_indep_8q
1.2,teleportation,0.01,-665674916350382.1,0.2066666666666667,decreases,dj_indep_8q
1.2,teleportation,0.015,-0.6354799898682878,0.21666666666666667,decreases,dj_indep_8q
1.2,teleportation,0.02,-0.109852941176471,0.21166666666666667,decreases,dj_indep_8q
1.0,cat,0.001,-2.7967171717171575,0.2849999999999999,remains stable,dj_indep_4q
1.0,cat,0.005,-0.1323949579831931,0.3275,decreases,dj_indep_4q
1.0,cat,0.01,-1026820715040473.4,0.27,increases,dj_indep_4q
1.0,cat,0.015,0.08801095811405082,0.32999999999999996,remains stable,dj_indep_4q
1.0,cat,0.02,-0.4269607843137262,0.2849999999999999,decreases,dj_indep_4q
1.0,teleportation,0.001,-2.136412512218965,0.35,decreases,dj_indep_4q
1.0,teleportation,0.005,-1.0690425531914913,0.25749999999999995,decreases,dj_indep_4q
1.0,teleportation,0.01,-0.025683563748079452,0.3225,increases,dj_indep_4q
1.0,teleportation,0.015,-0.8879629629629633,0.24749999999999994,decreases,dj_indep_4q
1.0,teleportation,0.02,-2.1981818181818285,0.285,increases,dj_indep_4q
1.1,cat,0.001,0.4518603465851171,0.33249999999999996,increases,dj_indep_4q
1.1,cat,0.005,0.550951333612624,0.30750000000000005,increases,dj_indep_4q
1.1,cat,0.01,0.17235363690124203,0.32999999999999996,increases,dj_indep_4q
1.1,cat,0.015,-0.17662337662337663,0.32,decreases,dj_indep_4q
1.1,cat,0.02,0.011273512180080714,0.32,decreases,dj_indep_4q
1.1,teleportation,0.001,-0.0640151515151508,0.32249999999999995,increases,dj_indep_4q
1.1,teleportation,0.005,-0.1360986382039005,0.31000000000000005,decreases,dj_indep_4q
1.1,teleportation,0.01,-0.5327106227106229,0.25999999999999995,decreases,dj_indep_4q
1.1,teleportation,0.015,-1.318218390804593,0.2525,decreases,dj_indep_4q
1.1,teleportation,0.02,-411757680216731.2,0.265,decreases,dj_indep_4q
1.2,cat,0.001,-0.5857011494252891,0.35999999999999993,decreases,dj_indep_4q
1.2,cat,0.005,-1.7134879725086005,0.315,decreases,dj_indep_4q
1.2,cat,0.01,-1.1764044943820209,0.25,increases,dj_indep_4q
1.2,cat,0.015,0.029476950354610426,0.3175,increases,dj_indep_4q
1.2,cat,0.02,-0.6751602564102502,0.31499999999999995,decreases,dj_indep_4q
1.2,teleportation,0.001,0.22823884916581533,0.3525,increases,dj_indep_4q
1.2,teleportation,0.005,0.25597527472527426,0.2924999999999999,remains stable,dj_indep_4q
1.2,teleportation,0.01,0.08219171917191728,0.3075,increases,dj_indep_4q
1.2,teleportation,0.015,-1.2137669801462871,0.27749999999999997,decreases,dj_indep_4q
1.2,teleportation,0.02,-0.7392934782608697,0.3,remains stable,dj_indep_4q
1.0,cat,0.001,-0.027777777777778487,0.19499999999999995,increases,dj_indep_7q
