Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_2q,0.02,1.1,no,0.1399999999999999,0.095
dj_indep_2q,0.02,1.2,global,0.1799999999999999,0.07500000000000001
dj_indep_2q,0.02,1.2,local,,0.02499999999999995
dj_indep_2q,0.02,1.2,no,0.1,0.09
dj_indep_3q,0.001,1.0,global,0.05,0.4400000000000001
dj_indep_3q,0.001,1.0,local,0.07,0.3233333333333333
dj_indep_3q,0.001,1.0,no,0.41,0.3733333333333333
dj_indep_3q,0.001,1.1,global,0.0099999999999999,0.35333333333333333
dj_indep_3q,0.001,1.1,local,0.03,0.36666666666666664
dj_indep_3q,0.001,1.1,no,0.37000000000000005,0.3566666666666667
dj_indep_3q,0.001,1.2,global,0.03,0.36999999999999994
dj_indep_3q,0.001,1.2,local,0.01,0.4166666666666667
dj_indep_3q,0.001,1.2,no,0.38666666666666655,0.3733333333333333
dj_indep_3q,0.005,1.0,global,0.18,0.41999999999999993
dj_indep_3q,0.005,1.0,local,0.22,0.4033333333333333
dj_indep_3q,0.005,1.0,no,0.3633333333333333,0.31
dj_indep_3q,0.005,1.1,global,0.1499999999999999,0.4266666666666667
dj_indep_3q,0.005,1.1,local,0.06,0.36999999999999994
dj_indep_3q,0.005,1.1,no,0.37666666666666665,0.35999999999999993
dj_indep_3q,0.005,1.2,global,0.1099999999999999,0.38333333333333336
dj_indep_3q,0.005,1.2,local,0.18,0.34
dj_indep_3q,0.005,1.2,no,0.3266666666666666,0.37999999999999995
dj_indep_3q,0.01,1.0,global,0.0799999999999999,0.3333333333333333
dj_indep_3q,0.01,1.0,local,0.0299999999999999,0.35999999999999993
dj_indep_3q,0.01,1.0,no,0.3833333333333333,0.3533333333333333
dj_indep_3q,0.01,1.1,global,0.09,0.4133333333333334
dj_indep_3q,0.01,1.1,local,0.21,0.36333333333333334
dj_indep_3q,0.01,1.1,no,0.3433333333333333,0.35000000000000003
dj_indep_3q,0.01,1.2,global,0.03,0.3466666666666667
dj_indep_3q,0.01,1.2,local,0.15,0.3833333333333333
dj_indep_3q,0.01,1.2,no,0.36666666666666664,0.31999999999999995
dj_indep_3q,0.015,1.0,global,0.0199999999999999,0.3366666666666666
dj_indep_3q,0.015,1.0,local,0.3,0.38666666666666666
dj_indep_3q,0.015,1.0,no,0.3133333333333333,0.35333333333333333
dj_indep_3q,0.015,1.1,global,0.04,0.36666666666666664
dj_indep_3q,0.015,1.1,local,0.13,0.3766666666666667
dj_indep_3q,0.015,1.1,no,0.3266666666666666,0.34
dj_indep_3q,0.015,1.2,global,0.12,0.3733333333333333
dj_indep_3q,0.015,1.2,local,0.16,0.3466666666666667
dj_indep_3q,0.015,1.2,no,0.33666666666666667,0.37999999999999995
dj_indep_3q,0.02,1.0,global,0.15,0.35666666666666663
dj_indep_3q,0.02,1.0,local,0.0299999999999999,0.33666666666666667
dj_indep_3q,0.02,1.0,no,0.3866666666666667,0.3333333333333333
dj_indep_3q,0.02,1.1,global,4.163336342344337e-17,0.3233333333333333
dj_indep_3q,0.02,1.1,local,0.0,0.33666666666666667
dj_indep_3q,0.02,1.1,no,0.3566666666666667,0.37999999999999995
dj_indep_3q,0.02,1.2,global,0.08,0.3866666666666667
dj_indep_3q,0.02,1.2,local,0.09,0.35333333333333333
dj_indep_3q,0.02,1.2,no,0.37666666666666665,0.3066666666666667
dj_indep_4q,0.001,1.0,global,0.1099999999999999,0.34249999999999997
dj_indep_4q,0.001,1.0,local,0.02999999999999995,0.29
dj_indep_4q,0.001,1.0,no,0.25749999999999995,0.35
dj_indep_4q,0.001,1.1,global,0.02,0.31
dj_indep_4q,0.001,1.1,local,0.08499999999999995,0.31
dj_indep_4q,0.001,1.1,no,0.315,0.275
dj_indep_4q,0.001,1.2,global,0.15499999999999992,0.25999999999999995
dj_indep_4q,0.001,1.2,local,0.1,0.27249999999999996
dj_indep_4q,0.001,1.2,no,0.3324999999999999,0.32999999999999996
dj_indep_4q,0.005,1.0,global,0.09500000000000004,0.26499999999999996
dj_indep_4q,0.005,1.0,local,0.09,0.32
dj_indep_4q,0.005,1.0,no,0.2775,0.3275
dj_indep_4q,0.005,1.1,global,0.04,0.24250000000000005
dj_indep_4q,0.005,1.1,local,0.07999999999999995,0.28
dj_indep_4q,0.005,1.1,no,0.29,0.2975
dj_indep_4q,0.005,1.2,global,0.055,0.295
dj_indep_4q,0.005,1.2,local,0.04,0.3075
dj_indep_4q,0.005,1.2,no,0.31,0.28500000000000003
dj_indep_4q,0.01,1.0,global,0.03499999999999995,0.31000000000000005
dj_indep_4q,0.01,1.0,local,0.08,0.25249999999999995
dj_indep_4q,0.01,1.0,no,0.385,0.27999999999999997
dj_indep_4q,0.01,1.1,global,0.04000000000000003,0.285
dj_indep_4q,0.01,1.1,local,0.05999999999999995,0.31250000000000006
dj_indep_4q,0.01,1.1,no,0.2925,0.29
dj_indep_4q,0.01,1.2,global,0.04,0.3
dj_indep_4q,0.01,1.2,local,0.054999999999999896,0.295
dj_indep_4q,0.01,1.2,no,0.3225,0.27499999999999997
dj_indep_4q,0.015,1.0,global,0.08999999999999994,0.3099999999999999
dj_indep_4q,0.015,1.0,local,0.11500000000000005,0.275
dj_indep_4q,0.015,1.0,no,0.2725,0.27749999999999997
dj_indep_4q,0.015,1.1,global,0.1,0.33
dj_indep_4q,0.015,1.1,local,0.135,0.27249999999999996
dj_indep_4q,0.015,1.1,no,0.3,0.26749999999999996
dj_indep_4q,0.015,1.2,global,0.05999999999999995,0.26499999999999996
dj_indep_4q,0.015,1.2,local,0.059999999999999956,0.34
dj_indep_4q,0.015,1.2,no,0.3075,0.255
dj_indep_4q,0.02,1.0,global,0.10999999999999996,0.28500000000000003
dj_indep_4q,0.02,1.0,local,0.03999999999999995,0.26249999999999996
dj_indep_4q,0.02,1.0,no,0.25749999999999995,0.29
dj_indep_4q,0.02,1.1,global,0.12,0.26999999999999996
dj_indep_4q,0.02,1.1,local,0.20500000000000002,0.3225
dj_indep_4q,0.02,1.1,no,0.24000000000000002,0.2874999999999999
dj_indep_4q,0.02,1.2,global,0.055,0.22749999999999995
dj_indep_4q,0.02,1.2,local,0.065,0.33
dj_indep_4q,0.02,1.2,no,0.2925,0.3275
dj_indep_5q,0.001,1.0,global,0.09499999999999996,0.10799999999999998
dj_indep_5q,0.001,1.0,local,0.030000000000000002,0.08
dj_indep_5q,0.001,1.0,no,0.07999999999999999,0.06
dj_indep_5q,0.001,1.1,global,0.07999999999999995,0.08800000000000004
dj_indep_5q,0.001,1.1,local,0.13999999999999996,0.05999999999999996
dj_indep_5q,0.001,1.1,no,0.11199999999999996,0.14599999999999994
dj_indep_5q,0.001,1.2,global,0.12999999999999995,0.072
dj_indep_5q,0.001,1.2,local,0.145,0.06999999999999997
dj_indep_5q,0.001,1.2,no,0.03999999999999998,0.09999999999999994
dj_indep_5q,0.005,1.0,global,0.17500000000000004,0.023999999999999962
dj_indep_5q,0.005,1.0,local,0.13499999999999995,0.07199999999999998
dj_indep_5q,0.005,1.0,no,0.10799999999999998,0.07399999999999994
dj_indep_5q,0.005,1.1,global,0.04999999999999995,0.13000000000000003
