origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
dj_indep_10q,global,1.2,0.015,cat,10,11,28,4,4,-0.05,0.04,-0.1,0.0900000000000001,0.05,0.4444444444444449,0.0028228759765625,200,
dj_indep_10q,global,1.2,0.015,cat,10,11,31,6,6,-0.05,0.1,0.0279999999999999,0.15,0.078,0.48,0.0079762935638427,200,
dj_indep_10q,global,1.0,0.02,cat,10,11,28,2,2,0.07,0.02,-0.0440000000000001,0.0499999999999999,0.1140000000000001,-1.2800000000000034,0.0078527927398681,200,
dj_indep_10q,global,1.0,0.02,cat,10,11,28,4,4,-0.01,-0.03,0.036,0.02,0.046,-1.2999999999999992,0.0033133029937744,200,
dj_indep_10q,global,1.0,0.02,cat,10,11,31,6,6,-0.01,0.02,0.0219999999999999,0.03,0.0319999999999999,-0.0666666666666634,0.008958101272583,200,
dj_indep_10q,global,1.1,0.02,cat,10,11,28,2,2,0.04,0.0699999999999999,0.154,0.0299999999999999,0.114,-2.8000000000000105,0.0029761791229248,200,
dj_indep_10q,global,1.1,0.02,cat,10,11,28,4,4,-0.09,0.1099999999999999,0.0579999999999999,0.1999999999999999,0.1479999999999999,0.26,0.003044843673706,200,
dj_indep_10q,global,1.1,0.02,cat,10,11,31,6,6,-0.07,0.0699999999999999,-0.0219999999999999,0.1399999999999999,0.048,0.6571428571428569,0.0031402111053466,200,
dj_indep_10q,global,1.2,0.02,cat,10,11,28,2,2,-0.01,0.0199999999999999,-0.0199999999999999,0.0299999999999999,0.0099999999999999,0.6666666666666672,0.0067989826202392,200,
dj_indep_10q,global,1.2,0.02,cat,10,11,28,4,4,-0.1699999999999999,-0.02,0.1079999999999999,0.1499999999999999,0.2779999999999999,-0.8533333333333335,0.0036060810089111,200,
dj_indep_10q,global,1.2,0.02,cat,10,11,31,6,6,0.04,0.02,0.056,0.02,0.016,0.1999999999999988,0.0069141387939453,200,
dj_indep_2q,global,1.0,0.001,cat,2,3,14,2,2,0.06,-0.09,-0.068,0.15,0.1280000000000001,0.1466666666666663,0.0022311210632324,200,
dj_indep_2q,global,1.1,0.001,cat,2,3,14,2,2,0.12,0.0299999999999999,0.054,0.09,0.0659999999999999,0.2666666666666676,0.0018260478973388,200,
dj_indep_2q,global,1.2,0.001,cat,2,3,14,2,2,-0.01,0.0499999999999999,0.034,0.0599999999999999,0.044,0.2666666666666648,0.0008749961853027,200,
dj_indep_2q,global,1.0,0.005,cat,2,3,14,2,2,0.0,0.01,0.1079999999999999,0.01,0.1079999999999999,-9.799999999999985,0.0008718967437744,200,
dj_indep_2q,global,1.1,0.005,cat,2,3,14,2,2,-0.07,-0.02,-0.122,0.0499999999999999,0.0519999999999999,-0.0399999999999999,0.000878095626831,200,
dj_indep_2q,global,1.2,0.005,cat,2,3,14,2,2,0.05,0.14,-0.102,0.09,0.152,-0.6888888888888893,0.0008418560028076,200,
dj_indep_2q,global,1.0,0.01,cat,2,3,14,2,2,0.04,-0.01,-0.1119999999999999,0.05,0.1519999999999999,-2.039999999999996,0.0008721351623535,200,
dj_indep_2q,global,1.1,0.01,cat,2,3,14,2,2,0.01,-0.02,0.2619999999999998,0.03,0.2519999999999998,-7.399999999999986,0.0008089542388916,200,
dj_indep_2q,global,1.2,0.01,cat,2,3,14,2,2,-0.04,-0.01,-0.1699999999999999,0.03,0.1299999999999999,-3.333333333333328,0.0008380413055419,200,
dj_indep_2q,global,1.0,0.015,cat,2,3,14,2,2,0.12,0.06,0.096,0.06,0.024,0.6000000000000002,0.0007479190826416,200,
dj_indep_2q,global,1.1,0.015,cat,2,3,14,2,2,-0.12,0.0299999999999999,0.0080000000000001,0.15,0.1280000000000002,0.1466666666666652,0.0007722377777099,200,
dj_indep_2q,global,1.2,0.015,cat,2,3,14,2,2,-0.03,0.16,0.0239999999999999,0.19,0.054,0.7157894736842105,0.0008392333984375,200,
dj_indep_2q,global,1.0,0.02,cat,2,3,14,2,2,-0.03,0.1399999999999999,0.0899999999999999,0.1699999999999999,0.1199999999999999,0.2941176470588236,0.0007660388946533,200,
dj_indep_2q,global,1.1,0.02,cat,2,3,14,2,2,-0.02,0.11,0.032,0.13,0.052,0.5999999999999999,0.0008039474487304,200,
dj_indep_2q,global,1.2,0.02,cat,2,3,14,2,2,0.1499999999999999,-0.0299999999999999,0.0519999999999999,0.1799999999999999,0.098,0.4555555555555552,0.0007891654968261,200,
dj_indep_3q,local,1.0,0.001,cat,3,4,8,2,2,-0.05,0.02,-0.0539999999999999,0.07,0.0039999999999998,0.9428571428571444,0.0017681121826171,200,
dj_indep_3q,local,1.1,0.001,cat,3,4,8,2,2,-0.04,-0.0099999999999999,-0.0580000000000001,0.03,0.018,0.3999999999999984,0.0013949871063232,200,
dj_indep_3q,local,1.2,0.001,cat,3,4,8,2,2,0.01,0.02,-0.052,0.01,0.062,-5.199999999999998,0.0011708736419677,200,
dj_indep_3q,local,1.0,0.005,cat,3,4,8,2,2,0.1699999999999999,-0.05,0.1459999999999998,0.22,0.0240000000000001,0.8909090909090903,0.0011670589447021,200,
dj_indep_3q,local,1.1,0.005,cat,3,4,8,2,2,0.11,0.05,0.148,0.06,0.038,0.366666666666667,0.0013501644134521,200,
dj_indep_3q,local,1.2,0.005,cat,3,4,8,2,2,-0.08,0.1,-0.0999999999999999,0.18,0.0199999999999999,0.8888888888888893,0.0012238025665283,200,
dj_indep_3q,local,1.0,0.01,cat,3,4,8,2,2,-0.09,-0.06,0.1380000000000001,0.0299999999999999,0.2280000000000001,-6.600000000000011,0.0011999607086181,200,
dj_indep_3q,local,1.1,0.01,cat,3,4,8,2,2,-0.08,0.13,0.0039999999999999,0.21,0.084,0.6,0.0011608600616455,200,
dj_indep_3q,local,1.2,0.01,cat,3,4,8,2,2,-0.05,0.1,0.0059999999999999,0.15,0.0559999999999999,0.6266666666666671,0.0015180110931396,200,
dj_indep_3q,local,1.0,0.015,cat,3,4,8,2,2,0.09,-0.21,-0.1720000000000001,0.3,0.2620000000000001,0.1266666666666664,0.0012662410736083,200,
dj_indep_3q,local,1.1,0.015,cat,3,4,8,2,2,-0.12,0.01,0.0899999999999999,0.13,0.21,-0.6153846153846148,0.001150369644165,200,
dj_indep_3q,local,1.2,0.015,cat,3,4,8,2,2,0.12,-0.04,-0.0319999999999999,0.16,0.152,0.0500000000000002,0.0011501312255859,200,
dj_indep_3q,local,1.0,0.02,cat,3,4,8,2,2,0.03,0.06,-0.1619999999999999,0.0299999999999999,0.1919999999999999,-5.400000000000006,0.0011110305786132,200,
dj_indep_3q,local,1.1,0.02,cat,3,4,8,2,2,-0.08,-0.08,-0.054,0.0,0.0259999999999999,,0.0011351108551025,200,
dj_indep_3q,local,1.2,0.02,cat,3,4,8,2,2,-0.04,0.05,0.072,0.09,0.1120000000000001,-0.2444444444444444,0.0012838840484619,200,
dj_indep_5q,local,1.0,0.001,cat,5,6,10,2,2,0.02,0.01,0.046,0.01,0.026,-1.6000000000000048,0.0015311241149902,200,
dj_indep_5q,local,1.0,0.001,cat,5,6,14,4,4,-0.06,-0.0099999999999999,-0.098,0.05,0.0379999999999999,0.2400000000000016,0.0017790794372558,200,
dj_indep_5q,local,1.1,0.001,cat,5,6,10,2,2,0.08,0.05,-0.056,0.0299999999999999,0.136,-3.53333333333334,0.0014421939849853,200,
dj_indep_5q,local,1.1,0.001,cat,5,6,14,4,4,0.08,-0.17,0.014,0.25,0.066,0.7360000000000001,0.0017998218536376,200,
dj_indep_5q,local,1.2,0.001,cat,5,6,10,2,2,-0.11,0.14,0.1239999999999999,0.25,0.234,0.064,0.0015439987182617,200,
dj_indep_5q,local,1.2,0.001,cat,5,6,14,4,4,0.1399999999999999,0.0999999999999999,-0.018,0.04,0.1579999999999999,-2.9499999999999984,0.0018708705902099,200,
dj_indep_5q,local,1.0,0.005,cat,5,6,10,2,2,-0.1299999999999999,-0.03,-0.028,0.0999999999999999,0.1019999999999999,-0.02,0.001418113708496,200,
dj_indep_5q,local,1.0,0.005,cat,5,6,14,4,4,0.01,-0.16,-0.0979999999999999,0.17,0.1079999999999999,0.3647058823529415,0.0017609596252441,200,
dj_indep_5q,local,1.1,0.005,cat,5,6,10,2,2,-0.1599999999999999,0.0399999999999999,-0.002,0.1999999999999999,0.1579999999999999,0.2100000000000002,0.0014688968658447,200,
dj_indep_5q,local,1.1,0.005,cat,5,6,14,4,4,0.02,-0.07,-0.2399999999999999,0.09,0.26,-1.888888888888888,0.0017318725585937,200,
dj_indep_5q,local,1.2,0.005,cat,5,6,10,2,2,-0.1599999999999999,-0.0399999999999999,-0.038,0.12,0.1219999999999999,-0.0166666666666664,0.0014538764953613,200,
dj_indep_5q,local,1.2,0.005,cat,5,6,14,4,4,0.0,0.0799999999999999,-0.0659999999999999,0.0799999999999999,0.0659999999999999,0.1749999999999996,0.0017271041870117,200,
dj_indep_5q,local,1.0,0.01,cat,5,6,10,2,2,0.03,-0.0399999999999999,-0.088,0.0699999999999999,0.118,-0.6857142857142864,0.0014340877532958,200,
dj_indep_5q,local,1.0,0.01,cat,5,6,14,4,4,0.01,-2.775557561562892e-17,-0.03,0.01,0.04,-2.999999999999993,0.0017759799957275,200,
dj_indep_5q,local,1.1,0.01,cat,5,6,10,2,2,0.05,0.09,-0.1699999999999999,0.0399999999999999,0.22,-4.500000000000005,0.0015108585357666,200,
dj_indep_5q,local,1.1,0.01,cat,5,6,14,4,4,0.01,-0.0299999999999999,0.0019999999999998,0.0399999999999999,0.0080000000000001,0.7999999999999972,0.0017879009246826,200,
dj_indep_5q,local,1.2,0.01,cat,5,6,10,2,2,-0.12,-0.02,-0.074,0.1,0.046,0.5399999999999998,0.0015301704406738,200,
dj_indep_5q,local,1.2,0.01,cat,5,6,14,4,4,0.02,0.02,0.058,1.3877787807814457e-17,0.038,-2738188573441260.5,0.0018379688262939,200,
dj_indep_5q,local,1.0,0.015,cat,5,6,10,2,2,0.08,-2.775557561562892e-17,-0.0039999999999999,0.08,0.0839999999999999,-0.0499999999999993,0.0016379356384277,200,
dj_indep_5q,local,1.0,0.015,cat,5,6,14,4,4,0.07,0.09,0.0399999999999999,0.0199999999999999,0.03,-0.5000000000000046,0.0021767616271972,200,
dj_indep_5q,local,1.1,0.015,cat,5,6,10,2,2,-0.01,-0.06,0.0999999999999999,0.05,0.1099999999999999,-1.1999999999999982,0.0016231536865234,200,
dj_indep_5q,local,1.1,0.015,cat,5,6,14,4,4,0.02,0.0899999999999999,-0.1419999999999998,0.0699999999999999,0.1619999999999999,-1.3142857142857145,0.0017621517181396,200,
dj_indep_5q,local,1.2,0.015,cat,5,6,10,2,2,0.01,-0.0599999999999999,0.2399999999999999,0.0699999999999999,0.2299999999999999,-2.285714285714289,0.00148606300354,200,
dj_indep_5q,local,1.2,0.015,cat,5,6,14,4,4,0.04,0.0699999999999999,0.0340000000000001,0.0299999999999999,0.0059999999999998,0.800000000000003,0.0017342567443847,200,
dj_indep_5q,local,1.0,0.02,cat,5,6,10,2,2,0.02,-0.06,0.0679999999999998,0.08,0.0479999999999998,0.4000000000000021,0.0014522075653076,200,
dj_indep_5q,local,1.0,0.02,cat,5,6,14,4,4,-0.04,-0.18,-0.01,0.1399999999999999,0.0299999999999999,0.7857142857142858,0.0017616748809814,200,
dj_indep_5q,local,1.1,0.02,cat,5,6,10,2,2,-0.03,0.04,-0.146,0.07,0.1159999999999999,-0.6571428571428563,0.0014688968658447,200,
dj_indep_5q,local,1.1,0.02,cat,5,6,14,4,4,0.05,0.0899999999999999,0.048,0.0399999999999999,0.002,0.9499999999999996,0.0020186901092529,200,
dj_indep_5q,local,1.2,0.02,cat,5,6,10,2,2,0.02,0.0499999999999999,0.1159999999999999,0.0299999999999999,0.0959999999999999,-2.200000000000004,0.0014488697052001,200,
dj_indep_5q,local,1.2,0.02,cat,5,6,14,4,4,-0.12,-0.04,0.022,0.08,0.1420000000000001,-0.7750000000000006,0.0018069744110107,200,
dj_indep_9q,local,1.0,0.001,cat,9,10,16,2,2,0.05,0.03,-0.1760000000000001,0.02,0.2260000000000001,-10.29999999999999,0.0023207664489746,200,
dj_indep_9q,local,1.0,0.001,cat,9,10,22,4,4,-0.01,-0.1399999999999999,-0.0839999999999999,0.1299999999999999,0.0739999999999999,0.4307692307692309,0.0026617050170898,200,
dj_indep_9q,local,1.0,0.001,cat,9,10,26,6,6,-0.09,-0.06,0.0279999999999999,0.03,0.1179999999999999,-2.933333333333331,0.0028891563415527,200,
dj_indep_9q,local,1.1,0.001,cat,9,10,16,2,2,-0.03,-0.0599999999999999,-0.1119999999999999,0.0299999999999999,0.0819999999999999,-1.7333333333333358,0.0023367404937744,200,
dj_indep_9q,local,1.1,0.001,cat,9,10,22,4,4,-0.03,0.01,0.0279999999999999,0.04,0.0579999999999999,-0.4499999999999969,0.0028238296508789,200,
dj_indep_9q,local,1.1,0.001,cat,9,10,26,6,6,-0.02,0.0999999999999999,-0.144,0.12,0.124,-0.0333333333333332,0.0029540061950683,200,
dj_indep_9q,local,1.2,0.001,cat,9,10,16,2,2,-0.03,0.08,-0.1,0.11,0.07,0.3636363636363637,0.0023400783538818,200,
dj_indep_9q,local,1.2,0.001,cat,9,10,22,4,4,0.1,0.05,0.146,0.05,0.0459999999999999,0.0800000000000004,0.0026187896728515,200,
dj_indep_9q,local,1.2,0.001,cat,9,10,26,6,6,-0.06,-0.02,0.0279999999999999,0.04,0.088,-1.1999999999999982,0.0028588771820068,200,
dj_indep_9q,local,1.0,0.005,cat,9,10,16,2,2,-0.07,0.0499999999999999,-0.1619999999999999,0.1199999999999999,0.0919999999999999,0.2333333333333336,0.0023460388183593,200,
